Country,Currency Name,Code A,Code N,Country_2,Currency_2,Currency_Symbol,Country_currency,Currency_code,Symbol
Saudi Arabia,Saudi Riyal,SAR,682,,,,,,
Senegal,CFA Franc BCEAO,XOF,952,,,,,,
Serbia,Serbian Dinar,CSD,891,,,,,,
Seychelles,Seychelles Rupee,SCR,690,,,,,,
Sierra Leone,Leone,SLL,694,,,,,,
Singapore,Singapore Dollar,SGD,702,,,,,,
Slovakia (Slovak Republic),"Euro since 1. 1. 2009
replaced Slovak Koruna","EUR
SKK","978
703",,,,,,
Slovenia,"Euro since 1. 1. 2007
replaced Slovenian Tolar","EUR
SIT","978
705",,,,,,
Solomon Islands,Solomon Islands Dollar,SBD,90,,,,,,
Somalia,Somali Shilling,SOS,706,,,,,,
South Africa,Rand,ZAR,710,,,,,,
South Sudan,"South Sudanese pound
since 18. July 2011",SSP,728,,,,,,
Spain,Euro,EUR,978,,,,,,
Sri Lanka,Sri Lanka Rupee,LKR,144,,,,,,
Sudan,Sudanese Pound,"
SDG","
938",,,,,,
Suriname,Suriname Guilder,SRG,740,,,,,,
Swaziland,Lilangeni,SZL,748,,,,,,
Sweden,Swedish Krona,SEK,752,,,,,,
Switzerland,Swiss Franc,CHF,756,,,,,,
Syrian Arab Republic,Syrian Pound,SYP,760,,,,,,
"Taiwan, Republic of China",New Taiwan Dollar,TWD,901,,,,,,
Tajikistan,Somoni,TJS,972,,,,,,
Tanzania,Tanzanian Shilling,TZS,834,,,,,,
Thailand,Thai Baht,THB,764,,,,,,
Timor Leste,US Dollar,USD,840,,,,,,
Togo,CFA Franc BCEAO,XOF,952,,,,,,
Tokelau,New Zealand Dollar,NZD,554,,,,,,
Tonga,Paʻanga,TOP,776,,,,,,
Trinidad and Tobago,Trinidad and Tobago Dollar,TTD,780,,,,,,
Tunisia,Tunisian Dinar,TND,788,,,,,,
Turkey,Yeni Türk Liras ,TRY,949,,,,,,
Turkmenistan,Manat,TMM,795,,,,,,
Turks and Caicos Islands,US Dollar,USD,840,,,,,,
Tuvalu,Australian Dollar,AUD,36,,,,,,
Uganda,Uganda Shilling,UGX,800,,,,,,
Ukraine,Ukrainian Hryvnia,UAH,980,,,,,,
United Arab Emirates,UAE Dirham,AED,784,,,,,,
United Kingdom,Pound Sterling,GBP,826,,,,,,
United States,US Dollar,USD,840,,,,,,
Uruguay,Uruguayan Peso,UYU,858,,,,,,
Uzbekistan,Uzbekistan Sum,UZS,860,,,,,,
Vanuatu,Vanuatu Vatu,VUV,548,,,,,,
Vatican City State (Holy See),Euro,EUR,978,,,,,,
Venezuela,Venezuelan Bolívar,VEF,937,,,,,,
Vietnam,Vietnamese Dong,VND,704,,,,,,
Virgin Islands (British),US Dollar,USD,840,,,,,,
Virgin Islands (U.S.),US Dollar,USD,840,,,,,,
Wallis and Futuna Islands,CFP Franc,XPF,953,,,,,,
Western Sahara,Moroccan Dirham,MAD,504,,,,,,
Yemen,Yemeni Rial,YER,886,,,,,,
Zambia,Zambian Kwacha ,ZMW,894,,,,,,
Zimbabwe,Zimbabwe Dollar,ZWD,716,,,,,,
Bhutan,"
Indian Rupee","
INR","
356",,,,,,
